import time: self [us] | cumulative | imported package
import time:       204 |        309 |                               multidict._multidict
import time:       110 |        419 |                             multidict._compat
import time:       170 |        789 |                           multidict
import time:       157 |        157 |                             yarl._quoting_c
import time:        96 |        252 |                           yarl._quoting
import time:       782 |       2875 |                         yarl._url
import time:       166 |       3041 |                       yarl
import time:       134 |        134 |                         cchardet
import time:       203 |        203 |                           aiohttp.hdrs
import time:       130 |        130 |                                 attr._compat
import time:        92 |         92 |                                   attr._config
import time:       191 |        191 |                                     attr.exceptions
import time:       100 |        290 |                                   attr.setters
import time:      1393 |       1774 |                                 attr._make
import time:       146 |       2049 |                               attr.converters
import time:       107 |        107 |                               attr.filters
import time:      2525 |       2525 |                               attr.validators
import time:       117 |        117 |                               attr._cmp
import time:       117 |        117 |                               attr._funcs
import time:       378 |        378 |                               attr._version_info
import time:       117 |        117 |                               attr._next_gen
import time:       231 |       5638 |                             attr
import time:      1238 |       1238 |                                   html.entities
import time:       384 |       1622 |                                 html
import time:       561 |        561 |                                 socketserver
import time:      3557 |       5739 |                               http.server
import time:       435 |        435 |                                 aiohttp.typedefs
import time:       300 |        734 |                               aiohttp.http_exceptions
import time:        97 |         97 |                                   aiohttp.tcp_helpers
import time:       134 |        231 |                                 aiohttp.base_protocol
import time:       329 |        329 |                                   cgi
import time:       187 |        187 |                                   netrc
